Hostname,Check-Host,Port,IPAddress,CPUCore,RAM,Disk,Check-Host-ip
sdcgisazapmdw03,sdcgisazapmdw07.cihs.ad.gov.on.ca,8040,10.193.177.96,2,16,1044,10.193.177.217
,sdcgisazapmdw07.cihs.ad.gov.on.ca,443,,,,,10.193.177.217
,sdcgisazapmdw07.cihs.ad.gov.on.ca,9443,,,,,10.193.177.217
,sdcgisazapmdw07.cihs.ad.gov.on.ca,21,,,,,10.193.177.217
,sdcgisazapmdw07.cihs.ad.gov.on.ca,25,,,,,10.193.177.217
,sdcgisazapmdw07.cihs.ad.gov.on.ca,80,,,,,10.193.177.217
sdcgisazapmdw02,sdcgisazwhweb12.cihs.ad.gov.on.ca,8040,10.193.177.95,2,16,1044,10.193.177.239
,sdcgisazwhweb12.cihs.ad.gov.on.ca,443,,,,,10.193.177.239
,sdcgisazwhweb12.cihs.ad.gov.on.ca,9443,,,,,10.193.177.239
,sdcgisazwhweb12.cihs.ad.gov.on.ca,21,,,,,10.193.177.239
,sdcgisazwhweb12.cihs.ad.gov.on.ca,25,,,,,10.193.177.239
,sdcgisazwhweb12.cihs.ad.gov.on.ca,80,,,,,10.193.177.239
