Hostname,Check-Host,Port,IPAddress,CPUCore,RAM,Disk,Check-Host-ip
SDCGISAZAPMDW03,SDCGISAZAPMDW07.CIHS.AD.GOV.ON.CA,8040,10.193.177.96,2,16,1044,10.193.177.217
,SDCGISAZAPMDW07.CIHS.AD.GOV.ON.CA,443,,,,,10.193.177.217
,SDCGISAZAPMDW07.CIHS.AD.GOV.ON.CA,9443,,,,,10.193.177.217
,SDCGISAZAPMDW07.CIHS.AD.GOV.ON.CA,21,,,,,10.193.177.217
,SDCGISAZAPMDW07.CIHS.AD.GOV.ON.CA,25,,,,,10.193.177.217
,SDCGISAZAPMDW07.CIHS.AD.GOV.ON.CA,80,,,,,10.193.177.217
SDCGISAZAPMDW02,SDCGISAZWHWEB12.CIHS.AD.GOV.ON.CA,8040,10.193.177.95,2,16,1044,10.193.177.239
,SDCGISAZWHWEB12.CIHS.AD.GOV.ON.CA,443,,,,,10.193.177.239
,SDCGISAZWHWEB12.CIHS.AD.GOV.ON.CA,9443,,,,,10.193.177.239
,SDCGISAZWHWEB12.CIHS.AD.GOV.ON.CA,21,,,,,10.193.177.239
,SDCGISAZWHWEB12.CIHS.AD.GOV.ON.CA,25,,,,,10.193.177.239
,SDCGISAZWHWEB12.CIHS.AD.GOV.ON.CA,80,,,,,10.193.177.239
